equipe,gols,cartao_amarelo,cartao_vermelho,posse_de_bola,passes_certos,disputa_aerea,colocacao_final
1. Cruzeiro,67,67,2,54.4,80.4,14.6,1
2. Sao Paulo,57,90,4,53.0,80.9,13.9,2
3. Fluminense,60,75,5,53.6,80.7,13.2,6
4. Internacional,52,87,6,52.2,79.5,14.3,3
5. Santos FC,41,63,4,49.4,78.1,14.1,9
6. Atletico MG,46,78,2,53.9,79.8,13.3,5
7. Gremio,32,90,3,49.7,77.2,13.6,7
8. Chapecoense AF,37,66,2,48.8,75.6,14.6,15
9. Corinthians,49,71,2,50.8,77.8,12.3,4
10. Athletico Paranaense,43,70,1,47.0,73.2,13.6,8
11. Flamengo,44,65,4,51.7,79.1,13.8,10
12. Sport Recife,35,72,2,50.2,77.9,16.7,11
13. Goias,41,76,2,47.1,75.8,14.1,12
14. Figueirense,37,92,10,45.9,71.8,14.8,13
15. Vitoria,35,75,2,50.2,74.2,18.1,17
16. Bahia,31,94,7,49.1,77.3,13.6,18
17. Coritiba,33,59,1,48.1,74.9,11.1,14
18. Palmeiras,35,88,7,50.2,77.0,13.8,16
19. Botafogo RJ,30,84,9,45.9,75.9,12.1,19
20. Criciuma,27,110,5,48.4,75.4,12.7,20
